,vibration
448,657
449,657
450,657
451,657
452,657
453,656
454,656
455,656
456,656
457,656
458,656
459,656
460,657
461,656
462,656
463,655
464,656
465,656
466,657
467,655
468,657
469,657
470,657
471,657
472,658
473,659
474,658
475,658
476,657
477,658
478,658
479,658
480,657
481,658
482,658
483,658
484,657
485,656
486,657
487,658
488,657
489,656
490,657
491,657
492,657
493,657
494,657
495,657
496,657
497,658
498,659
499,658
500,658
501,658
502,658
503,658
504,657
505,657
506,658
507,658
508,657
509,657
510,656
511,657
512,658
513,658
514,658
515,658
516,658
517,657
518,657
519,657
520,657
521,657
522,657
523,657
524,657
525,657
526,657
527,657
528,658
529,657
530,657
531,657
532,657
533,657
534,657
535,657
536,658
537,658
538,658
539,658
540,658
541,658
542,657
543,657
544,656
545,657
546,657
547,657
548,656
549,657
550,658
551,657
552,657
553,658
554,657
555,657
556,657
557,658
558,657
559,657
560,657
561,657
562,656
563,657
564,657
565,657
566,657
567,657
568,657
569,656
570,657
571,657
572,656
573,658
574,657
575,657
576,656
577,657
578,658
579,657
580,657
581,657
582,657
583,657
584,657
585,657
586,656
587,657
588,656
589,657
590,657
591,657
592,657
593,657
594,657
595,657
596,657
597,657
598,657
599,657
600,657
601,656
602,657
603,657
604,657
605,657
606,657
607,657
608,657
609,657
610,657
611,657
612,657
613,657
614,657
615,656
616,656
617,657
618,657
619,657
620,656
621,656
622,658
623,657
624,657
625,657
626,657
627,657
628,657
629,658
630,657
631,658
632,657
633,656
634,656
635,657
636,657
637,657
638,658
639,657
640,658
641,658
642,658
643,657
644,658
645,658
646,658
647,657
648,657
649,659
650,657
651,657
652,657
653,657
654,656
655,657
656,657
657,657
658,657
659,657
660,657
661,657
662,657
663,658
664,657
665,658
666,657
667,658
668,658
669,658
670,657
671,657
672,657
673,658
674,657
675,657
676,657
677,657
678,658
679,657
680,658
681,658
682,658
683,658
684,658
685,658
686,658
687,658
688,657
689,657
690,657
691,657
692,657
693,657
694,656
695,657
696,657
697,657
698,657
699,657
700,657
701,657
702,657
703,657
704,657
705,657
706,657
707,657
708,657
709,657
710,657
711,656
712,656
713,656
714,657
715,657
716,657
717,657
718,657
719,656
720,657
721,658
722,657
723,658
724,657
725,657
726,657
727,657
728,657
729,657
730,656
731,658
732,657
733,657
734,657
735,659
736,657
737,657
738,657
739,657
740,656
741,658
742,657
743,657
744,657
745,657
746,656
747,657
748,657
749,656
750,657
751,656
752,657
753,657
754,656
755,656
756,657
757,656
758,656
759,657
760,658
761,657
762,657
763,657
764,657
765,656
766,657
767,657
768,657
769,657
770,657
771,657
772,657
773,658
774,657
775,657
776,657
777,657
778,657
779,657
780,657
781,657
782,657
783,656
784,657
785,657
786,657
787,657
788,657
789,657
790,657
791,657
792,658
793,657
794,657
795,657
796,657
797,657
798,657
799,657
800,657
801,657
802,657
803,657
804,657
805,657
806,657
807,657
808,656
809,657
810,657
811,657
812,657
813,659
814,657
815,657
816,657
817,658
818,657
819,657
820,658
821,657
822,658
823,656
824,658
825,657
826,657
827,658
828,658
829,657
830,657
831,657
832,658
833,657
834,658
835,657
836,658
837,656
838,657
839,657
840,657
841,658
842,658
843,658
844,656
845,658
846,657
847,657
848,656
849,657
850,657
851,657
852,657
853,657
854,657
855,657
856,657
857,658
858,657
859,658
860,657
861,658
862,656
863,658
864,657
865,657
866,658
867,658
868,657
869,656
870,657
871,657
872,657
873,658
874,657
875,656
876,657
877,656
878,657
879,657
880,657
881,656
882,657
883,657
884,657
885,657
886,658
887,657
888,657
889,657
890,657
891,656
892,656
893,656
894,657
895,656
896,657
897,657
898,657
899,657
900,657
901,657
902,657
903,657
904,659
905,657
906,657
907,657
908,657
909,657
910,657
911,659
912,657
913,658
914,657
915,659
916,657
917,658
918,658
919,658
920,658
921,657
922,657
923,658
924,657
925,657
926,657
927,657
928,657
929,655
930,657
931,657
932,657
933,656
934,657
935,658
936,657
937,657
938,658
939,658
940,657
941,657
942,657
943,657
944,657
945,656
946,656
947,656
948,656
949,657
950,657
951,657
952,656
953,657
954,655
955,657
956,657
957,657
958,655
959,657
960,658
961,657
962,657
963,658
964,657
965,657
966,657
967,658
968,657
969,657
970,657
971,657
972,657
973,658
974,657
975,657
976,657
977,658
978,658
979,657
980,657
981,657
982,658
983,657
984,657
985,657
986,657
987,658
988,658
989,658
990,658
991,658
992,657
993,658
994,658
995,657
996,657
997,657
998,657
999,657
1000,657
1001,657
1002,657
1003,657
1004,657
1005,657
1006,656
1007,657
1008,657
1009,657
1010,656
1011,657
1012,658
1013,657
1014,657
1015,657
1016,657
1017,656
1018,656
1019,657
1020,657
1021,657
1022,657
1023,658
1024,657
1025,657
1026,658
1027,657
1028,657
1029,657
1030,658
1031,657
1032,657
1033,657
1034,657
1035,657
1036,657
1037,656
1038,657
1039,657
1040,657
1041,657
1042,657
1043,657
1044,657
1045,657
1046,656
1047,656
1048,657
1049,657
1050,657
1051,657
1052,657
1053,656
1054,657
1055,656
1056,657
1057,657
1058,656
1059,657
1060,657
1061,657
1062,657
1063,657
1064,657
1065,657
1066,657
1067,656
1068,657
1069,656
1070,657
1071,657
1072,657
1073,658
1074,657
1075,657
1076,657
1077,657
1078,656
1079,657
1080,657
1081,657
1082,655
1083,657
1084,658
1085,657
1086,657
1087,658
1088,657
1089,657
1090,657
1091,658
1092,657
1093,657
1094,657
1095,658
1096,658
1097,657
1098,657
1099,657
1100,658
1101,657
1102,657
1103,656
1104,657
1105,657
1106,656
1107,655
1108,656
1109,657
1110,656
1111,656
1112,658
1113,657
1114,657
1115,657
1116,658
1117,657
1118,657
1119,657
1120,657
1121,656
1122,659
1123,658
1124,656
1125,657
1126,657
1127,657
1128,655
1129,657
1130,657
1131,657
1132,657
1133,658
1134,657
1135,657
1136,657
1137,658
1138,657
1139,657
1140,657
1141,657
1142,656
1143,657
1144,658
1145,658
1146,658
1147,658
1148,658
1149,657
1150,657
1151,657
1152,657
1153,656
1154,657
1155,657
1156,657
1157,657
1158,657
1159,657
1160,657
1161,657
1162,657
1163,658
1164,657
1165,657
1166,658
1167,657
1168,658
1169,657
1170,657
1171,657
1172,657
1173,657
1174,657
1175,657
1176,657
1177,657
1178,657
1179,657
1180,657
1181,657
1182,657
1183,657
1184,657
1185,657
1186,657
1187,657
1188,657
1189,657
1190,657
1191,657
1192,657
1193,655
1194,657
1195,658
1196,657
1197,656
1198,657
1199,657
1200,657
1201,657
1202,658
1203,657
1204,658
1205,658
1206,658
1207,658
1208,657
1209,657
1210,658
1211,658
1212,658
1213,657
1214,657
1215,657
1216,657
1217,657
1218,657
1219,657
1220,658
1221,657
1222,657
1223,657
1224,656
1225,655
1226,656
1227,656
1228,656
1229,656
1230,656
1231,656
1232,656
1233,657
1234,658
1235,657
1236,657
1237,656
1238,657
1239,655
1240,657
1241,656
1242,656
1243,657
1244,656
1245,657
1246,656
1247,656
1248,658
1249,657
1250,657
1251,658
1252,658
1253,658
1254,658
1255,659
1256,658
1257,658
1258,658
1259,659
1260,657
1261,657
1262,657
1263,657
1264,657
1265,657
1266,657
1267,657
1268,658
1269,657
1270,658
1271,657
1272,659
1273,658
1274,658
1275,656
1276,658
1277,658
1278,657
1279,657
1280,658
1281,658
1282,657
1283,657
1284,658
1285,658
1286,658
1287,657
1288,657
1289,656
1290,658
1291,657
1292,658
1293,658
1294,657
1295,658
1296,656
1297,657
1298,657
1299,657
1300,656
1301,657
1302,657
1303,657
1304,657
1305,658
1306,657
1307,657
1308,657
1309,658
1310,657
1311,657
1312,657
1313,657
1314,657
1315,657
1316,657
1317,657
1318,657
1319,657
1320,657
1321,657
1322,658
1323,658
1324,657
1325,657
1326,656
1327,657
1328,656
1329,657
1330,657
1331,657
1332,657
1333,657
1334,657
1335,658
1336,658
1337,657
1338,657
1339,658
1340,657
1341,657
1342,659
1343,657
1344,657
1345,657
1346,659
1347,657
1348,658
1349,657
1350,657
1351,658
1352,657
1353,657
1354,657
1355,658
1356,657
1357,657
1358,657
1359,657
1360,657
1361,657
1362,656
1363,657
1364,657
1365,657
1366,658
1367,659
1368,658
1369,658
1370,658
1371,659
1372,657
1373,657
1374,657
1375,657
1376,656
1377,656
1378,657
1379,657
1380,657
1381,657
1382,659
1383,658
1384,658
1385,657
1386,657
1387,658
1388,657
1389,657
1390,657
1391,658
1392,657
1393,657
1394,657
1395,657
1396,657
1397,657
1398,657
1399,657
1400,657
1401,656
1402,657
1403,658
1404,657
1405,657
1406,657
1407,658
1408,657
1409,657
1410,657
1411,657
1412,657
1413,657
1414,657
1415,657
1416,658
1417,657
1418,657
1419,657
1420,657
1421,657
1422,658
1423,657
1424,657
1425,657
1426,657
1427,656
1428,657
1429,657
1430,657
1431,657
1432,657
1433,657
1434,657
1435,657
1436,657
1437,657
1438,657
1439,656
1440,657
1441,657
1442,657
1443,657
1444,657
1445,657
1446,658
1447,657
1448,657
1449,657
1450,658
1451,657
1452,658
1453,657
1454,658
1455,657
1456,657
1457,657
1458,657
1459,657
1460,657
1461,657
1462,657
1463,657
1464,657
1465,658
1466,657
1467,657
1468,657
1469,657
1470,657
1471,657
1472,657
1473,657
1474,657
1475,657
1476,657
1477,657
1478,657
1479,657
1480,657
1481,657
1482,657
1483,657
1484,657
1485,656
1486,657
1487,658
1488,658
1489,658
1490,657
1491,657
1492,656
1493,657
1494,657
1495,656
1496,656
1497,657
1498,657
1499,657
1500,657
1501,658
1502,657
1503,657
1504,657
1505,658
1506,657
1507,657
1508,657
1509,657
1510,656
1511,657
1512,657
1513,657
1514,657
1515,658
1516,657
1517,657
1518,657
1519,657
1520,657
1521,657
1522,657
1523,658
1524,656
1525,657
1526,656
1527,657
1528,656
1529,657
1530,657
1531,657
1532,657
1533,657
1534,657
1535,657
1536,657
1537,657
1538,657
1539,657
1540,657
1541,657
1542,657
1543,657
1544,657
1545,657
1546,657
1547,657
1548,657
1549,657
1550,658
1551,657
1552,658
1553,657
1554,657
1555,657
1556,657
1557,657
1558,657
1559,657
1560,657
1561,657
1562,656
1563,657
1564,657
1565,657
1566,657
1567,656
1568,657
1569,656
1570,657
1571,657
1572,657
1573,655
1574,657
1575,657
1576,658
1577,657
1578,656
1579,656
1580,655
1581,656
1582,656
1583,656
1584,655
1585,657
1586,657
1587,657
1588,657
1589,657
1590,657
1591,656
1592,656
1593,657
1594,657
1595,656
1596,656
1597,657
1598,657
1599,657
1600,656
1601,656
1602,656
1603,656
1604,656
1605,655
1606,656
1607,656
1608,656
1609,655
1610,656
1611,657
1612,657
1613,656
1614,657
1615,658
1616,657
1617,656
1618,657
1619,657
1620,657
1621,657
1622,657
1623,657
1624,657
1625,657
1626,658
1627,656
1628,657
1629,657
1630,657
1631,658
1632,657
1633,657
1634,658
1635,658
1636,657
1637,657
1638,656
1639,657
1640,657
1641,657
1642,657
1643,657
1644,658
1645,657
1646,658
1647,657
1648,657
1649,657
1650,657
1651,657
1652,657
1653,657
1654,657
1655,657
1656,657
1657,657
1658,657
1659,657
1660,657
1661,657
1662,657
1663,656
1664,657
1665,658
1666,657
1667,658
1668,657
1669,657
1670,657
1671,657
1672,657
1673,657
1674,657
1675,658
1676,658
1677,657
1678,657
1679,657
1680,657
1681,657
1682,656
1683,655
1684,657
1685,658
1686,657
1687,655
1688,657
1689,657
1690,657
1691,657
1692,657
1693,657
1694,657
1695,657
1696,657
1697,657
1698,657
1699,657
1700,657
1701,657
1702,657
1703,657
1704,657
1705,657
1706,657
1707,657
1708,656
1709,657
1710,657
1711,658
1712,656
1713,658
1714,658
1715,659
1716,658
1717,658
1718,658
1719,658
1720,658
1721,657
1722,657
1723,657
1724,657
1725,657
1726,657
1727,657
1728,658
1729,657
1730,657
1731,657
1732,657
1733,657
1734,656
1735,657
1736,657
1737,657
1738,658
1739,657
1740,658
1741,657
1742,658
1743,657
1744,657
1745,657
1746,657
1747,657
1748,657
1749,657
1750,656
1751,657
1752,657
1753,657
1754,657
1755,657
1756,657
1757,657
1758,657
1759,657
1760,657
1761,657
1762,657
1763,658
1764,657
1765,658
1766,658
1767,658
1768,657
1769,658
1770,658
1771,658
1772,658
1773,658
1774,657
1775,657
1776,657
1777,657
1778,657
1779,657
1780,657
1781,657
1782,657
1783,657
1784,658
1785,658
1786,657
1787,657
1788,658
1789,657
1790,658
1791,657
1792,657
1793,657
1794,657
1795,658
1796,657
1797,657
1798,657
1799,657
1800,657
1801,657
1802,657
1803,657
1804,657
1805,657
1806,657
1807,656
1808,657
1809,657
1810,657
1811,657
1812,657
1813,657
1814,657
1815,658
1816,658
1817,657
1818,657
1819,657
1820,657
1821,658
1822,657
1823,657
1824,657
1825,657
1826,658
1827,657
1828,657
1829,657
1830,657
1831,658
1832,657
1833,658
1834,658
1835,658
1836,657
1837,658
1838,658
1839,657
1840,657
1841,657
1842,658
1843,657
1844,657
1845,657
1846,657
1847,657
1848,657
1849,657
1850,657
1851,657
1852,657
1853,657
1854,656
1855,657
1856,657
1857,657
1858,657
1859,657
1860,657
1861,657
1862,657
1863,657
1864,657
1865,658
1866,658
1867,657
1868,657
1869,657
1870,657
1871,657
1872,657
1873,657
1874,658
1875,658
1876,657
1877,657
1878,658
1879,658
1880,657
1881,657
1882,658
1883,657
1884,657
1885,657
1886,657
1887,657
1888,657
1889,657
1890,657
1891,657
1892,657
1893,658
1894,657
1895,658
1896,658
1897,658
1898,657
1899,658
1900,658
1901,658
1902,658
1903,658
1904,658
1905,657
1906,657
1907,658
1908,657
1909,657
1910,657
1911,657
1912,658
1913,658
1914,658
1915,658
1916,658
1917,658
1918,658
1919,658
1920,657
1921,657
1922,657
1923,657
1924,658
1925,657
1926,657
1927,657
1928,658
1929,658
1930,658
1931,656
1932,657
1933,657
1934,657
1935,657
1936,657
1937,657
1938,657
1939,657
1940,657
1941,657
1942,657
1943,657
1944,657
1945,657
1946,658
1947,657
1948,657
1949,656
1950,657
1951,657
1952,656
1953,657
1954,657
1955,657
1956,656
1957,656
1958,657
1959,657
1960,655
1961,656
1962,656
1963,656
1964,657
1965,658
1966,656
1967,658
1968,657
1969,657
1970,657
1971,657
1972,657
1973,657
1974,657
1975,658
1976,657
1977,657
1978,657
1979,657
1980,657
1981,657
1982,657
1983,657
1984,657
1985,657
1986,658
1987,657
1988,657
1989,657
1990,657
1991,656
1992,657
1993,657
1994,657
1995,657
1996,658
1997,657
1998,657
1999,657
2000,658
2001,658
2002,658
2003,657
2004,658
2005,658
2006,658
2007,657
2008,658
2009,658
2010,657
2011,657
2012,657
2013,657
2014,657
2015,658
2016,657
2017,657
2018,658
2019,657
2020,657
2021,657
2022,658
2023,658
2024,657
2025,657
2026,658
2027,658
2028,658
2029,658
2030,657
2031,657
2032,658
2033,657
2034,658
2035,657
2036,658
2037,657
2038,657
2039,658
2040,657
2041,657
2042,657
2043,658
2044,658
2045,657
2046,657
2047,657
2048,657
2049,657
2050,657
2051,657
2052,657
2053,657
2054,657
2055,656
2056,657
2057,658
2058,657
2059,656
2060,657
2061,657
2062,657
2063,657
2064,657
2065,658
2066,657
2067,657
2068,656
2069,657
2070,657
2071,658
2072,657
2073,657
2074,658
2075,657
2076,658
2077,657
2078,657
2079,658
2080,657
2081,657
2082,657
2083,657
2084,657
2085,657
2086,657
2087,656
2088,656
2089,656
2090,657
2091,657
2092,657
2093,657
2094,657
2095,657
2096,657
2097,657
2098,657
2099,657
2100,657
2101,657
2102,657
2103,657
2104,658
2105,657
2106,657
2107,657
2108,657
2109,657
2110,658
2111,657
2112,657
2113,656
2114,657
2115,659
2116,658
2117,658
2118,658
2119,657
2120,657
2121,657
2122,657
2123,657
2124,657
2125,657
2126,657
2127,657
2128,657
2129,657
2130,657
2131,658
2132,658
2133,658
2134,658
2135,658
2136,658
2137,656
2138,658
2139,657
2140,657
2141,657
2142,657
2143,657
2144,657
2145,658
2146,657
2147,658
2148,657
2149,658
2150,658
2151,658
2152,658
2153,658
2154,658
2155,658
2156,658
2157,659
2158,658
2159,658
2160,658
2161,658
2162,657
2163,658
2164,657
2165,658
2166,657
2167,657
2168,657
2169,657
2170,657
2171,657
2172,657
2173,656
2174,657
2175,657
2176,656
2177,656
2178,657
2179,657
2180,657
2181,657
2182,658
2183,657
2184,657
2185,657
2186,658
2187,657
2188,657
2189,656
2190,657
2191,657
2192,657
2193,657
2194,657
2195,657
2196,657
2197,657
2198,657
2199,657
2200,658
2201,657
2202,657
2203,657
2204,657
2205,657
2206,657
2207,657
2208,657
2209,657
2210,657
2211,658
2212,657
2213,657
2214,657
2215,653
2216,652
2217,651
2218,649
2219,647
2220,645
2221,645
2222,645
2223,647
2224,649
2225,652
2226,655
2227,661
2228,666
2229,669
2230,673
2231,675
2232,675
2233,674
2234,675
2235,674
2236,672
2237,670
2238,668
2239,666
2240,663
2241,660
2242,659
2243,656
2244,654
2245,653
2246,653
2247,655
2248,657
2249,659
2250,662
2251,664
2252,667
2253,668
2254,666
2255,664
2256,661
2257,657
2258,650
2259,647
2260,642
2261,638
2262,635
2263,633
2264,633
2265,636
2266,635
2267,638
2268,640
2269,645
2270,651
2271,656
2272,660
2273,663
2274,666
2275,669
2276,671
2277,672
2278,675
2279,677
2280,680
2281,682
2282,684
2283,685
2284,685
2285,684
2286,681
2287,679
2288,676
2289,672
2290,668
2291,664
2292,661
2293,660
2294,660
2295,661
2296,663
2297,666
2298,668
2299,670
2300,670
2301,669
2302,665
2303,661
2304,655
2305,650
2306,645
2307,640
2308,637
2309,635
2310,634
2311,635
2312,637
2313,639
2314,641
2315,661
2316,671
2317,679
2318,684
2319,686
2320,686
2321,685
2322,684
2323,685
2324,685
2325,686
2326,688
2327,691
2328,694
2329,695
2330,697
2331,697
2332,693
2333,689
2334,684
2335,680
2336,676
2337,675
2338,674
2339,673
2340,673
2341,674
2342,674
2343,673
2344,669
2345,664
2346,657
2347,649
2348,641
2349,635
2350,628
2351,622
2352,619
2353,615
2354,615
2355,616
2356,620
2357,620
2358,624
2359,627
2360,631
2361,633
2362,633
2363,634
2364,635
2365,640
2366,639
2367,637
2368,636
2369,638
2370,642
2371,648
2372,655
2373,666
2374,675
2375,681
2376,682
2377,678
2378,670
2379,659
2380,647
2381,638
2382,631
2383,629
2384,631
2385,638
2386,648
2387,663
2388,676
2389,687
2390,694
2391,697
2392,697
2393,694
2394,690
2395,685
2396,681
2397,679
2398,681
2399,683
2400,686
2401,690
2402,693
2403,695
2404,695
2405,692
2406,688
2407,682
2408,677
2409,674
2410,671
2411,669
2412,666
2413,665
2414,664
2415,659
2416,653
2417,648
2418,642
2419,640
2420,636
2421,631
2422,626
2423,620
2424,613
2425,607
2426,603
2427,599
2428,597
2429,597
2430,602
2431,608
2432,615
2433,622
2434,626
2435,628
2436,629
2437,628
2438,629
2439,628
2440,631
2441,635
2442,642
2443,649
2444,658
2445,666
2446,671
2447,670
2448,665
2449,656
2450,645
2451,636
2452,628
2453,624
2454,623
2455,627
2456,637
2457,652
2458,668
2459,683
2460,695
2461,702
2462,704
2463,705
2464,701
2465,653
2466,642
2467,636
2468,631
2469,629
2470,628
2471,627
2472,625
2473,621
2474,618
2475,615
2476,611
2477,607
2478,604
2479,602
2480,604
2481,609
2482,616
2483,626
2484,633
2485,642
2486,649
2487,654
2488,657
2489,657
2490,654
2491,648
2492,640
2493,634
2494,631
2495,631
2496,634
2497,638
2498,643
2499,650
2500,656
2501,661
2502,661
2503,658
2504,651
2505,646
2506,643
2507,642
2508,647
2509,653
2510,665
2511,680
2512,695
2513,708
2514,716
2515,677
2516,689
2517,699
2518,703
2519,700
2520,693
2521,682
2522,666
2523,643
2524,622
2525,608
2526,603
2527,605
2528,616
2529,635
2530,657
2531,683
2532,709
2533,730
2534,738
2535,740
2536,735
2537,724
2538,708
2539,694
2540,682
2541,675
2542,673
2543,679
2544,689
2545,699
2546,707
2547,714
2548,716
2549,715
2550,709
2551,702
2552,694
2553,687
2554,682
2555,675
2556,671
2557,669
2558,671
2559,670
2560,668
2561,665
2562,659
2563,650
2564,639
2565,661
2566,664
2567,669
2568,674
2569,679
2570,679
2571,677
2572,671
2573,662
2574,648
2575,631
2576,613
2577,596
2578,582
2579,570
2580,563
2581,562
2582,567
2583,576
2584,587
2585,596
2586,607
2587,621
2588,634
2589,645
2590,652
2591,658
2592,662
2593,665
2594,669
2595,674
2596,681
2597,687
2598,693
2599,695
2600,693
2601,685
2602,672
2603,655
2604,634
2605,614
2606,601
2607,595
2608,598
2609,608
2610,626
2611,648
2612,672
2613,695
2614,714
2615,721
2616,723
2617,722
2618,718
2619,712
2620,705
2621,699
2622,690
2623,680
2624,671
2625,665
2626,659
2627,653
2628,647
2629,640
2630,634
2631,626
2632,615
2633,602
2634,586
2635,574
2636,566
2637,563
2638,564
2639,567
2640,572
2641,580
2642,590
2643,604
2644,619
2645,633
2646,648
2647,659
2648,666
2649,671
2650,680
2651,685
2652,686
2653,683
2654,679
2655,672
2656,664
2657,653
2658,642
2659,629
2660,618
2661,612
2662,613
2663,621
2664,631
2665,700
2666,711
2667,714
2668,710
2669,702
2670,693
2671,682
2672,670
2673,661
2674,654
2675,650
2676,649
2677,654
2678,659
2679,660
2680,658
2681,652
2682,642
2683,632
2684,619
2685,604
2686,588
2687,577
2688,572
2689,571
2690,572
2691,578
2692,588
2693,601
2694,613
2695,625
2696,637
2697,648
2698,659
2699,672
2700,681
2701,687
2702,691
2703,693
2704,694
2705,690
2706,684
2707,677
2708,668
2709,656
2710,645
2711,636
2712,631
2713,632
2714,636
2715,628
2716,612
2717,593
2718,577
2719,563
2720,553
2721,547
2722,548
2723,553
2724,561
2725,573
2726,587
2727,601
2728,614
2729,625
2730,636
2731,644
2732,653
2733,664
2734,674
2735,680
2736,682
2737,684
2738,687
2739,690
2740,687
2741,680
2742,670
2743,661
2744,650
2745,638
2746,624
2747,617
2748,615
2749,620
2750,632
2751,648
2752,669
2753,692
2754,713
2755,729
2756,737
2757,740
2758,735
2759,725
2760,714
2761,700
2762,691
2763,687
2764,687
2765,650
2766,633
2767,621
2768,616
2769,620
2770,626
2771,639
2772,657
2773,681
2774,705
2775,725
2776,738
2777,743
2778,739
2779,729
2780,717
2781,704
2782,693
2783,689
2784,691
2785,697
2786,707
2787,720
2788,730
2789,735
2790,735
2791,728
2792,717
2793,705
2794,695
2795,685
2796,677
2797,668
2798,663
2799,659
2800,656
2801,651
2802,646
2803,643
2804,636
2805,626
2806,613
2807,597
2808,581
2809,566
2810,552
2811,543
2812,537
2813,537
2814,544
2815,676
2816,677
2817,676
2818,671
2819,665
2820,657
2821,647
2822,636
2823,631
2824,632
2825,638
2826,648
2827,663
2828,682
2829,700
2830,716
2831,728
2832,732
2833,729
2834,718
2835,704
2836,690
2837,679
2838,673
2839,675
2840,685
2841,697
2842,712
2843,727
2844,738
2845,742
2846,737
2847,724
2848,707
2849,690
2850,675
2851,663
2852,652
2853,645
2854,642
2855,645
2856,650
2857,655
2858,659
2859,656
2860,648
2861,636
2862,622
2863,604
2864,584
2865,678
2866,698
2867,719
2868,734
2869,739
2870,736
2871,725
2872,707
2873,689
2874,675
2875,666
2876,664
2877,672
2878,687
2879,706
2880,726
2881,742
2882,746
2883,746
2884,738
2885,721
2886,700
2887,678
2888,658
2889,639
2890,626
2891,620
2892,624
2893,630
2894,637
2895,642
2896,645
2897,644
2898,640
2899,629
2900,612
2901,591
2902,570
2903,552
2904,538
2905,531
2906,531
2907,539
2908,553
2909,571
2910,589
2911,609
2912,627
2913,645
2914,659
2915,638
2916,632
2917,631
2918,629
2919,628
2920,624
2921,620
2922,613
2923,603
2924,591
2925,576
2926,564
2927,556
2928,552
2929,552
2930,558
2931,568
2932,578
2933,589
2934,603
2935,616
2936,629
2937,645
2938,663
2939,676
2940,688
2941,698
2942,708
2943,711
2944,706
2945,695
2946,682
2947,668
2948,654
2949,640
2950,630
2951,625
2952,627
2953,639
2954,655
2955,674
2956,694
2957,712
2958,726
2959,735
2960,734
2961,726
2962,713
2963,699
2964,682
2965,575
2966,561
2967,546
2968,540
2969,540
2970,546
2971,557
2972,571
2973,585
2974,599
2975,613
2976,627
2977,640
2978,650
2979,659
2980,665
2981,668
2982,669
2983,673
2984,677
2985,679
2986,682
2987,683
2988,679
2989,674
2990,669
2991,662
2992,650
2993,642
2994,639
2995,643
2996,653
2997,666
